dataset,model,split,scene,frames,iou,dice,precision,recall,failure,boundary_f1,component_count,pred_gt_area_ratio,bbox_iou
MoCH,ZoomNeXt-CamLock,Test,v_13_24,33,0.6118921470255675,0.7534221898030101,0.8943316225869361,0.6651591242708182,0.0,0.27222551510618154,4.151515151515151,0.7517007115325792,0.6170122372591349
MoCH,ZoomNeXt-CamLock,Test,v_13_27,33,0.4964399047750879,0.6517137396808849,0.9349966980491278,0.5300325055664146,0.0,0.3207248028702346,4.121212121212121,0.5823959723309065,0.6801369891957268
MoCH,ZoomNeXt-CamLock,Test,v_13_28,43,0.6511489530560347,0.7708365325117739,0.7355011432061529,0.8537963133566101,0.09302325581395349,0.4147795299231143,2.558139534883721,1.3356066945140879,0.6540356626860461
MoCH,ZoomNeXt-CamLock,Test,v_13_30,49,0.3438897349738241,0.406900429276483,0.42417996431976807,0.39928397130421867,0.5102040816326531,0.2103678960777524,1.8979591836734695,0.7383609273528283,0.2756168319112498
MoCH,ZoomNeXt-CamLock,Test,v_13_31,18,0.5564312767619668,0.7099645461534055,0.9578758221841281,0.5733456128210083,0.0,0.27272363206056904,2.388888888888889,0.6012264090812913,0.6953058974303584
MoCH,ZoomNeXt-CamLock,Test,v_13_34,117,0.6905947382831068,0.7915809897497289,0.7838984846202633,0.8442926422239609,0.10256410256410256,0.38559026173212224,1.623931623931624,1.26184848560051,0.6989967051333126
MoCH,ZoomNeXt-CamLock,Test,v_13_35,35,0.4166694247447545,0.5650130786684142,0.9743259767754591,0.4260399457340072,0.3142857142857143,0.1527870416284311,4.485714285714286,0.44201366640694917,0.5145881685125233
MoCH,ZoomNeXt-CamLock,Test,v_13_36,46,0.31992553468699475,0.39808690152044784,0.4438072520106612,0.382328810008405,0.5217391304347826,0.15893959359413398,2.0434782608695654,0.6211376257817279,0.3110489616927672
MoCH,ZoomNeXt-CamLock,Test,v_13_40,39,0.603108063062986,0.7261477435237709,0.9223735382184021,0.6397318812054169,0.1794871794871795,0.40250743299273894,2.230769230769231,0.6960008179589942,0.746032331650521
MoCH,ZoomNeXt-CamLock,Test,v_13_8,29,0.7930007964052747,0.8830478939427819,0.9575741467797539,0.8277235411911559,0.0,0.35167527153334405,1.4827586206896552,0.8691461489096164,0.8753462989527553
MoCH,ZoomNeXt-CamLock,Test,v_14_0,148,0.5354845076208979,0.6109749595798523,0.6132729800558676,0.6343588178130709,0.31756756756756754,0.35906169553985523,1.7567567567567568,0.9199288141892542,0.5578211345778566
MoCH,ZoomNeXt-CamLock,Test,v_14_1,171,0.2011514181430586,0.22753112029875155,0.21838681969423443,0.2693447970304719,0.7660818713450293,0.1327689857720467,4.175438596491228,3.9151703842438916,0.1823786704939355
MoCH,ZoomNeXt-CamLock,Test,v_15_0,54,0.4749616088641982,0.5952879743939727,0.7556337248694454,0.5164147843261796,0.3888888888888889,0.30774198227620597,3.685185185185185,0.6379918904884951,0.5347939230285232
MoCH,ZoomNeXt-CamLock,Test,v_16_1,40,0.21028307530684995,0.28727754313007947,0.2791790379134503,0.32274781561747734,0.75,0.0978685421619924,6.1,1.585178123989398,0.21136046639657552
MoCH,ZoomNeXt-CamLock,Test,v_16_13,57,0.12011349509535267,0.17902660854957192,0.2199307915164482,0.16058859751875662,0.7894736842105263,0.023056694308927386,2.456140350877193,0.3667014582189,0.09276178867331297
MoCH,ZoomNeXt-CamLock,Test,v_16_14,48,0.1359942810568877,0.2067159485144874,0.4045686727275603,0.14540363602838627,0.8541666666666666,0.041036769121335984,3.9791666666666665,0.22296794485777957,0.2573292662424089
MoCH,ZoomNeXt-CamLock,Test,v_16_15,26,0.15474792526074002,0.24578508313241892,0.521792297532005,0.17063254490042662,0.8076923076923077,0.03058090427343411,6.8076923076923075,0.29435120741595266,0.34686238152124815
